Ticker
A
AAPL
ABBV
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
ANSS
AON
AOS
APA
APD
APH
APO
APP
APTV
ARE
ARES
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBY
BDX
BEN
BF-B
BG
BIIB
BIO
BK
BKNG
BKR
BLD
BLDR
BLK
BMY
BR
BRO
BSX
BWA
BXP
C
CAG
CAH
CARR
CASY
CAT
CB
CBOE
CBRE
CCI
CCL
CDNS
CDW
CE
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CIEN
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COHR
COIN
COO
COP
COR
COST
CPAY
CPB
CPRT
CPT
CRL
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTC
CTRA
CTSH
CTVA
CVS
CVX
CZR
D
DAL
DASH
DD
DDOG
DE
DECK
DFS
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EQT
ERIE
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FIX
FLT
FMC
FOX
FOXA
FTNT
FTV
