"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	"42,40$"	"40,29$"	"-100"	""	"Verkauf"	"Stop"	"40,29$"	""	"Pending"	"-"	"-"	""	"-4,98%"	"42,36"	"0,21%"	"42,45"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	""	"42,41$"	"100"	"0 => 100"	"Kauf"	"Limit"	""	"42,41$"	"Ausgeführt"	"-"	"-"	""	""	"42,36"	"0,21%"	"42,45"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"1.793,92$"	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Pending"	"-"	"-"	""	"-4,84%"	"1.793,11"	"0,04%"	"1.793,76"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"USD"	"1.797,00$"	"5"	"0 => 5"	"Kauf"	"Limit"	""	"1.797,00$"	"Ausgeführt"	"-"	"-"	""	""	"1.791,05"	"0,14%"	"1.793,53"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	"382,18$"	"352,80$"	"-10"	""	"Verkauf"	"Stop"	"352,80$"	""	"Pending"	"-"	"-"	""	"-7,69%"	"380,00"	"0,84%"	"383,20"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	""	"389,00$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"392,00$"	"Ausgeführt"	"-"	"-"	""	""	"380,00"	"0,84%"	"383,20"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	"341,72$"	"339,74$"	"-15"	""	"Verkauf"	"Stop"	"339,74$"	""	"Pending"	"-"	"-"	""	"-0,58%"	"341,57"	"0,09%"	"341,88"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 18:24:26"	"PALANTIR TECHNOLOGIES"	"PLTR"	"118,46$"	"114,19$"	"-20"	""	"Verkauf"	"Stop"	"114,19$"	""	"Pending"	"-"	"-"	""	"-3,60%"	"118,30"	"0,15%"	"118,48"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"719,89$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-10,29%"	"711,69"	"3,28%"	"735,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"719,89$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-14,78%"	"711,69"	"3,28%"	"735,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
