"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"25 Juni 2026, 15:30:35"	"AMAZON"	"AMZN"	""	"230,06$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"230,09$"	""	"Ausgeführt"	"-121,39$"	"-5,01%"	""	""	"229,25"	"0,01%"	"USD"	"Kein Limit"	""	"690M"	"AKT"	"USD"	"NASDAQ ETH"	"USD"	
""	"25 Juni 2026, 15:30:01"	"ALPHABET CLASS A"	"GOOGL"	""	"336,69$"	"-15"	"15 => 0"	"Verkauf"	"Stop"	"339,74$"	""	"Ausgeführt"	"-155,69$"	"-2,99%"	""	""	"343,42"	"0,02%"	"343,48"	"Kein Limit"	""	"245M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 21:42:47"	"ROCKWELL AUTOMATION"	"ROK"	""	"458,99$"	"-8"	"8 => 0"	"Verkauf"	"Stop"	"459,00$"	""	"Ausgeführt"	"+9,52$"	"+0,26%"	""	""	"476,46"	"0,09%"	"476,89"	"Kein Limit"	""	"90,1M"	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	"379,88$"	"360,89$"	"-10"	""	"Verkauf"	"Stop"	"360,89$"	""	"Pending"	"-"	"-"	""	"-5,00%"	"379,77"	"0,06%"	"379,99"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	""	"377,10$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"377,10$"	"Ausgeführt"	"-"	"-"	""	""	"379,77"	"0,06%"	"379,99"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 20:40:09"	"ROCKWELL AUTOMATION"	"ROK"	""	"434,91$"	"-8"	""	"Verkauf"	"Stop"	"434,91$"	""	"Gelöscht"	"-"	"-"	""	""	"476,46"	"0,09%"	"476,89"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:43:22"	"ARM"	"ARM"	""	"352,61$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"352,80$"	""	"Ausgeführt"	"-363,90$"	"-9,35%"	""	""	"350,31"	"0,05%"	"350,49"	"Kein Limit"	""	"107M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 15:30:33"	"NIKE"	"NKE"	""	"42,18$"	"-100"	"100 => 0"	"Verkauf"	"Stop"	"42,05$"	""	"Ausgeführt"	"-23,00$"	"-0,54%"	""	""	"40,52"	"0,02%"	"40,53"	"Kein Limit"	""	"102M"	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:30:02"	"PALANTIR TECHNOLOGIES"	"GOOGL"	""	"114,33$"	"-20"	"USD"	"Verkauf"	"Stop"	"114,19$"	""	"Ausgeführt"	"-117,50$"	"-4,89%"	"USD"	""	"USD"	"0,03%"	"108,00"	"USD"	""	"162M"	"USD"	"Technologie"	"USD"	"USD"	
""	"23 Juni 2026, 17:05:03"	"NVIDIA"	"NVDA"	"194,78$"	"191,47$"	"-20"	""	"Verkauf"	"Stop"	"191,47$"	""	"Pending"	"-"	"-"	""	"-1,70%"	"194,77"	"0,02%"	"194,80"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"1.834,59$"	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Pending"	"-"	"-"	""	"-6,95%"	"1.834,39"	"0,08%"	"1.835,85"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"710,74$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-9,14%"	"710,72"	"0,03%"	"710,90"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"710,74$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-13,68%"	"710,72"	"0,03%"	"710,90"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
