"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"24 Juni 2026, 21:42:47"	"ROCKWELL AUTOMATION"	"ROK"	""	"458,99$"	"-8"	"8 => 0"	"Verkauf"	"Stop"	"459,00$"	""	"Ausgeführt"	"+9,52$"	"+0,26%"	""	""	"453,85"	"7,97%"	"490,00"	"Kein Limit"	""	"90,1M"	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	"387,78$"	"360,89$"	"-10"	""	"Verkauf"	"Stop"	"360,89$"	""	"Pending"	"-"	"-"	""	"-6,93%"	"387,48"	"0,20%"	"388,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 21:07:15"	"BROADCOM"	"AVGO"	""	"377,10$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"377,10$"	"Ausgeführt"	"-"	"-"	""	""	"387,48"	"0,20%"	"388,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 20:40:09"	"ROCKWELL AUTOMATION"	"ROK"	""	"434,91$"	"-8"	""	"Verkauf"	"Stop"	"434,91$"	""	"Gelöscht"	"-"	"-"	""	""	"453,85"	"7,97%"	"490,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:43:22"	"ARM"	"ARM"	""	"352,61$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"352,80$"	""	"Ausgeführt"	"-363,90$"	"-9,35%"	""	""	"380,27"	"0,07%"	"380,55"	"Kein Limit"	""	"107M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"24 Juni 2026, 15:30:33"	"NIKE"	"NKE"	""	"42,18$"	"-100"	"100 => 0"	"Verkauf"	"Stop"	"42,05$"	""	"Ausgeführt"	"-23,00$"	"-0,54%"	""	""	"41,84"	"0,02%"	"41,85"	"Kein Limit"	""	"102M"	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"24 Juni 2026, 15:30:02"	"PALANTIR TECHNOLOGIES"	"PLTR"	""	"114,33$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"114,19$"	""	"Ausgeführt"	"-117,50$"	"-4,89%"	""	""	"112,44"	"0,14%"	"112,60"	"Kein Limit"	""	"162M"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 20:40:20"	"PALO ALTO NETWORKS"	"ROK"	""	"457,80$"	"8"	"0 => 8"	"Kauf"	"Limit"	""	"457,80$"	"Ausgeführt"	"-"	"-"	""	""	"453,85"	"7,97%"	"490,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 18:59:30"	"NIKE"	"NKE"	""	"40,29$"	"-100"	""	"Verkauf"	"Stop"	"40,29$"	""	"Gelöscht"	"-"	"-"	""	""	"41,84"	"0,02%"	"41,85"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 17:39:14"	"TESLA"	"TSLA"	""	"382,48$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"382,45$"	""	"Ausgeführt"	"+8,30$"	"+0,22%"	""	""	"376,82"	"0,02%"	"376,90"	"Kein Limit"	""	"1,11B"	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:32"	"BROADCOM"	"AVGO"	""	"378,20$"	"10"	""	"Kauf"	"Limit"	""	"378,20$"	"Gelöscht"	"-"	"-"	""	""	"387,48"	"0,20%"	"388,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:06:16"	"BROADCOM"	"AVGO"	""	"379,88$"	"10"	""	"Kauf"	"Limit"	""	"379,88$"	"Gelöscht"	"-"	"-"	""	""	"387,48"	"0,20%"	"388,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:03"	"NVIDIA"	"NVDA"	"200,30$"	"191,47$"	"-20"	""	"Verkauf"	"Stop"	"191,47$"	""	"Pending"	"-"	"-"	""	"-4,41%"	"200,28"	"0,03%"	"200,35"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 17:05:02"	"NVIDIA"	"NVDA"	""	"201,55$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"201,55$"	"Ausgeführt"	"-"	"-"	""	""	"200,28"	"0,03%"	"200,35"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:04"	"BROADCOM"	"AVGO"	""	"379,18$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"385,00$"	""	"Ausgeführt"	"+59,25$"	"+1,59%"	""	""	"387,48"	"0,20%"	"388,25"	"Kein Limit"	""	"1,1B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:01"	"NVIDIA"	"NVDA"	""	"202,18$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"202,50$"	""	"Ausgeführt"	"+61,54$"	"+1,55%"	""	""	"200,28"	"0,03%"	"200,35"	"Kein Limit"	""	"1,09B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	""	"42,41$"	"100"	"0 => 100"	"Kauf"	"Limit"	""	"42,41$"	"Ausgeführt"	"-"	"-"	""	""	"41,84"	"0,02%"	"41,85"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"1.825,00$"	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Pending"	"-"	"-"	""	"-6,46%"	"1.821,04"	"0,33%"	"1.827,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.797,00$"	"5"	"0 => 5"	"Kauf"	"Limit"	""	"1.797,00$"	"Ausgeführt"	"-"	"-"	""	""	"1.821,04"	"0,33%"	"1.827,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	""	"389,00$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"392,00$"	"Ausgeführt"	"-"	"-"	""	""	"380,27"	"0,07%"	"380,55"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	"344,79$"	"339,74$"	"-15"	""	"Verkauf"	"Stop"	"339,74$"	""	"Pending"	"-"	"-"	""	"-1,46%"	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	""	"347,07$"	"15"	"0 => 15"	"Kauf"	"Limit"	""	"347,07$"	"Ausgeführt"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:30:42"	"ALPHABET CLASS A"	"GOOGL"	""	"346,83$"	"15"	""	"Kauf"	"Limit"	""	"346,83$"	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:29:33"	"ALPHABET CLASS A"	"GOOGL"	""	"346,15$"	"15"	""	"Kauf"	"Limit"	""	"346,15$"	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:29:14"	"ALPHABET CLASS A"	"GOOGL"	""	"344,44$"	"15"	""	"Kauf"	"Limit"	""	"344,44$"	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:18:46"	"ALPHABET CLASS A"	"GOOGL"	""	"331,60$"	"-15"	""	"Verkauf"	"Stop"	"331,60$"	""	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:18:37"	"ALPHABET CLASS A"	"GOOGL"	""	"340,10$"	"15"	""	"Kauf"	"Limit"	""	"340,10$"	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 18:24:26"	"PALANTIR TECHNOLOGIES"	"PLTR"	""	"120,20$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"120,20$"	"Ausgeführt"	"-"	"-"	""	""	"112,44"	"0,14%"	"112,60"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 17:31:03"	"ALPHABET CLASS A"	"GOOGL"	""	"323,10$"	"-15"	""	"Verkauf"	"Stop"	"323,10$"	""	"Gelöscht"	"-"	"-"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 15:30:04"	"ALPHABET CLASS A"	"GOOGL"	""	"358,56$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"357,40$"	""	"Ausgeführt"	"+32,60$"	"+0,92%"	""	""	"344,69"	"0,11%"	"345,06"	"Kein Limit"	""	"1,01B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"707,00$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-8,66%"	"705,00"	"1,99%"	"719,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"707,00$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-13,22%"	"705,00"	"1,99%"	"719,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:45:38"	"ADVANCED MICRO DEVICES"	"AMD"	"535,73$"	"441,20$"	"6"	""	"Kauf"	"Limit"	""	"441,20$"	"Pending"	"-"	"-"	""	"-17,65%"	"535,50"	"0,09%"	"536,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:44:56"	"NU CLASS A"	"NU"	"12,50$"	"12,00$"	"200"	""	"Kauf"	"Limit"	""	"12,00$"	"Pending"	"-"	"-"	""	"-4,00%"	"12,50"	"0,32%"	"12,54"	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"450,70$"	"404,90$"	"10"	""	"Kauf"	"Limit"	""	"404,90$"	"Pending"	"-"	"-"	""	"-10,26%"	"450,66"	"0,12%"	"451,20"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:39:29"	"PALO ALTO NETWORKS"	"PANW"	"284,18$"	"250,80$"	"10"	""	"Kauf"	"Limit"	""	"250,80$"	"Pending"	"-"	"-"	""	"-11,75%"	"282,10"	"0,82%"	"284,40"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:38:41"	"VISA"	"V"	"330,52$"	"310,05$"	"6"	""	"Kauf"	"Limit"	""	"310,05$"	"Pending"	"-"	"-"	""	"-6,19%"	"330,00"	"0,67%"	"332,20"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:19"	"ARISTA NETWORKS"	"ANET"	"165,93$"	"145,50$"	"20"	""	"Kauf"	"Limit"	""	"145,50$"	"Pending"	"-"	"-"	""	"-12,31%"	"165,50"	"0,79%"	"166,80"	"Kein Limit"	""	""	"AKT"	"Telekommunikation"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:00"	"CLOUDFLARE CLASS A"	"NET"	"227,79$"	"193,60$"	"10"	""	"Kauf"	"Limit"	""	"193,60$"	"Pending"	"-"	"-"	""	"-15,01%"	"220,25"	"3,42%"	"227,79"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:34:30"	"CROWDSTRIKE"	"CRWD"	"670,27$"	"619,50$"	"6"	""	"Kauf"	"Limit"	""	"619,50$"	"Pending"	"-"	"-"	""	"-7,57%"	"670,15"	"0,13%"	"671,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:31:40"	"BLOCK CLASS A"	"XYZ"	"75,75$"	"67,88$"	"50"	""	"Kauf"	"Limit"	""	"67,88$"	"Pending"	"-"	"-"	""	"-10,39%"	"75,70"	"0,21%"	"75,86"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:31:21"	"SERVICENOW"	"NOW"	"93,06$"	"88,80$"	"50"	""	"Kauf"	"Limit"	""	"88,80$"	"Pending"	"-"	"-"	""	"-4,58%"	"93,00"	"0,11%"	"93,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:16:21"	"SERVICENOW"	"NOW"	"93,06$"	"84,36$"	"-50"	""	"Verkauf"	"Stop"	"84,36$"	""	"Inaktiv"	"-"	"-"	""	"-9,35%"	"93,00"	"0,11%"	"93,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:59:56"	"NU CLASS A"	"NU"	"12,50$"	"11,40$"	"-200"	""	"Verkauf"	"Stop"	"11,40$"	""	"Inaktiv"	"-"	"-"	""	"-8,80%"	"12,50"	"0,32%"	"12,54"	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:53:41"	"VISA"	"V"	"330,52$"	"294,55$"	"-6"	""	"Verkauf"	"Stop"	"294,55$"	""	"Inaktiv"	"-"	"-"	""	"-10,88%"	"330,00"	"0,67%"	"332,20"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
